# gunzip -c exp/ug/mono/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/ug/mono/graph 
# Started at Mon Dec 24 14:53:51 EET 2018
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 76.5027322404% of the time at utterance begin.  This may not be optimal.
At utterance begin, sil accounts for 76.5% of phone occurrences, with duration (median, mean, 95-percentile) is (88,82.9,142) frames.
At utterance begin, sil_S accounts for 22.4% of phone occurrences, with duration (median, mean, 95-percentile) is (80,82.4,127) frames.
At utterance begin, nonsilence accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,6) frames.
At utterance begin, f_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,6) frames.
At utterance begin, w_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,9) frames.
At utterance end, sil accounts for 97.3% of phone occurrences, with duration (median, mean, 95-percentile) is (96,94.5,146) frames.
At utterance end, sil_S accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (44,72.0,85) frames.
At utterance end, nonsilence accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,17.5,8) frames.
At utterance end, ah_S accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,17.5,8) frames.
Overall, nonsilence accounts for 88.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.3,21) frames.
Overall, sil accounts for 8.9% of phone occurrences, with duration (median, mean, 95-percentile) is (84,76.7,141) frames.
Overall, ah_S accounts for 5.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,17) frames.
Overall, iy_S accounts for 5.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.3,22) frames.
Overall, n_S accounts for 5.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,19) frames.
Overall, s_S accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.3,21) frames.
Overall, l_S accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.0,24) frames.
Overall, r_S accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,19) frames.
Overall, z_S accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.3,27) frames.
Overall, ih_S accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,12) frames.
Overall, k_S accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.9,16) frames.
Overall, t_S accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.3,16) frames.
Overall, er_S accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.1,23) frames.
Overall, m_S accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,15) frames.
Overall, aa_S accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.8,19) frames.
Overall, p_S accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,15) frames.
Overall, f_S accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,16) frames.
Overall, sil_S accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (57,66.7,127) frames.
Overall, d_S accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.3,21) frames.
Overall, ae_S accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.5,20) frames.
Overall, ay_S accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.2,22) frames.
Overall, b_S accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,11) frames.
Overall, ey_S accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.7,21) frames.
Overall, eh_S accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,16) frames.
Overall, sh_S accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.7,22) frames.
Overall, ao_S accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.6,25) frames.
Overall, w_S accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,16) frames.
Overall, ow_S accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.7,22) frames.
Overall, jh_S accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.3,25) frames.
Overall, ch_S accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.6,22) frames.
Overall, uw_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.8,25) frames.
Overall, dh_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,10) frames.
Overall, ng_S accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.5,26) frames.
Overall, g_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,12) frames.
Overall, aw_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.5,26) frames.
Overall, oy_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.5,19) frames.
Overall, y_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,13) frames.
Overall, v_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,11) frames.
Overall, hh_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.3,14) frames.
The optional-silence phone sil occupies 37.1% of frames overall 
Limiting the stats to the 60.8% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 3.9% of frames.
Assuming 100 frames per second, the alignments represent 0.2 hours of data, or 0.1 hours if sil frames are excluded.
